Tweets,Retweets,Favorite Tweets,Location
Ready for tomorrow ,".@Cristiano in an extreme endless skateboarding game: Amazing!

",,
Happy to have helped the team on another important win! ,HAPPY BIRTHDAY @CRISTIANO. You are amazing and you inspire us so much. We love you. #HappyBirthdayCR7 ,,
" Hey!  Head over to my see my CR fragrances range this Black Friday, there will be a surprise waiting!

#CRFragrances #Fragrance #CR7 #BlackFriday ","Happy Birthday hero Proud of you always, best player in the world @Cristiano ",,
Getting my head into the game  #CLEARMen #BeYourOwnChampion ,Feliz cumpleaos mi amigo !!! Happy birthday my friend !!! @Cristiano #HalaMadridYNadaMas ,,
Back on track ,Happy 30th birthday @Cristiano! Wish you the best and I will always support you! #FelicidadesCR7 #HappyBirthdayCR7 ,,
About last night! Amazing dinner at @ZelaRestaurants  ,Happy Birthday to the best player in the world! You are my hero  @Cristiano ,,
"Happy birthday, dear princess! One year of bliss! Love you! ","Happy birthday, @Cristiano ! ",,
"Having fun on set! Check out the classic styles
on  ",@Cristiano Happy Birthday boss... #HalaMadrid,,
Happy Halloween to everyone!! ,"HAPPY BIRTHDAY to the world's best player, @Cristiano!! My idol and biggest inspiration! ",,
Can you guess where am I?#pestanacr7 #cr7 @PestanaCR7 ,Happy Birthday @Cristiano!!! #CR30 #ParabensCristiano #VivaRonaldo ,,
"A great coach and above all a wonderful man. Taught me so many things inside and outside the pitch. Great to see you in good shape, Boss! ","Happy 30th Birthday @Cristiano! All about hard work &amp; sacrifice, the rest is history. 
My inspiration &amp; life example. ",,
Thanks for the warm welcome. Always feel at home here. ,My idol is 30 today  @Cristiano Wish u many great upcoming years enjoying football and life! You are still young  ,,
"So happy for my island! Vote for Madeira, for sure the best island in the world!!

Vote here:  ",ICYMI: Our yearly award has a familiar winner. 2014 belongs to @Cristiano. Well done CR7.  ,,
Mis amores  ,Show your support for @realmadrid in El Clasico &amp; win a trip to Dubai. Details:  #HelloClasico ,,
My clear conscious will thereby allow me to await with tranquillity the results of any and all investigations.,"69 - Since start of 2013, @Cristiano has never failed to score for 2 CL games in a row. Star ",,
"I firmly deny the accusations being issued against me. Rape is an abominable crime that goes against everything that I am and believe in. Keen as I may be to clear my name, I refuse to feed the media spectacle created by people seeking to promote themselves at my expense.",Go download #BaseballBattle on iOS for free! Let me know what you think! ,,
"A legacy built on dreams  
My new Chapter 7 Built On Dreams #Mercurial is out now at 

#Nikefootball #BornMercurial @nikefootball ","Your game. Our world. Get the Nike Football App.
Google Play: 
iTunes: 
",,
"Excited to continue my legacy in the new @nikefootball CH. 7 Built on dreams Mercurial. 
#nikefootball #bornmercurial #mercurial ",The #Mercurial Superfly designed by @Cristiano for his biggest fan @7cristianorb. Get yours:  ,,
Focused for tomorrow  ,"Brazil loves Portugal! @VivaRonaldo 
[@edmacieldesa]",,
Thanks @EASPORTSFIFA for the Worlds First copy of #FIFA19  Come and join me in the Game ,"THE CHEIF SCOUT SHOWING OFF HIS SILVERWARE
#AllHailDaCheifScout ",,
Let's go! Download the demo now  #FIFA19 @EASPORTSFIFA ,@Cristiano @IFC_FIVES @ThecatPaul thanks for meeting us on Saturday your a great guy it was a special moment for us ,,
Always on the ball  #CR7Underwear FW18 campaign out now! New styles on  ,Let's all support this Portuguese Human Rights campaign on Facebook! ,,
Feeling good !! Lets go  ,indeed @XXL: .@LilTunechi Signed @euroneverlies After Listening To One Verse ,,
Two words only: HARD WORK! ,@Cristiano #CR7emag is a perfect way to see what you get up to. It's fantastic for your fans!,,
Work done  ,"Just purchased #Cr7emag , it is a really wonderful gift for us. Gracias @Cristiano. You are our Idol.",,
Back on trackblessed ,@Cristiano #CR7emag is just a must-have! Its amazing and thank you so much for sharing all those stuffs with your fans!,,
Winning team!! ,Just purchased #CR7eMag..it is so amazing to know everything that i never seen before..thank u for sharing it with us @Cristiano #ILY :),,
"Thanks to everyone who voted for me. Will never forget that moment, specially the reaction of the fans in the stadium. #UEFA Goal of the Season #SpecialMoment ",@cristiano i love the new #CR7emag .. So cool :),,
Abt last night  ,@Cristiano new #CR7emag looks amazing. I just phrased it. Amazing work. Very easy to use and its enjoyable :),,
Happy Sunday  ,"@Cristiano I loved your CR7 eMag!!! It is amazing! It was so good to be able to see the backstage of BdO, interviews with SAF, your party!!!",,
Drive your performance #Herbalife24 #CR7Drive #BehindTheResults #ad  ,@Cristiano I'm so happy because I'm in your magazine (Paula) and i love your new magazine!! :),,
Challenge the rules by making your own. #nikesportswear #nikesportpack @nikesportswear ,@Cristiano I love it! It looks amazing :) #cr7emag,,
"Happy to announce Im now a global brand ambassador for DAZN!
For my fans in      you can watch an exclusive interview as a Juventus player on @DAZN_IT, as well as unlocking other great CR7 content!
#DAZN #CR7 ","Everyone should download @cristiano 's #cr7emag its full of amazing things, like moments of CR7! I love it  ",,
"New challenge, new wheels. 
Switching it up a gear for the new season with the new Raised on Concrete Mercurial Superfly 360. 
#NikeFootball #Mercurial #BornMercurial ","@Cristiano I love how you do so much for your fans, and your new emag is amazing! ",,
Moments  ,Congratulations @Cristiano with launching #CR7emag! It's really great! So proud of you!,,
